0,140,2
0,132,4
0,278,2
0,730,5
1,60,4
1,364,5
1,198,3
1,477,2
1,186,3
2,342,4
2,708,3
2,21,4
2,169,2
2,608,4
2,263,4
2,299,4
3,457,3
3,455,4
3,530,2
3,467,5
4,25,5
4,117,1
5,564,4
5,683,3
5,310,5
6,657,4
6,679,2
6,13,5
6,542,3
6,275,4
6,436,3
6,324,1
6,91,1
7,162,3
7,781,4
7,530,4
7,516,3
7,703,1
7,32,4
8,403,3
8,829,2
8,90,4
8,564,5
9,313,4
9,704,4
9,54,1
9,184,2
9,248,3
9,201,4
9,43,2
9,180,3
10,187,2
10,777,5
10,201,5
10,398,3
10,251,3
10,201,3
10,166,1
12,607,2
13,513,5
13,637,4
13,701,5
13,349,1
13,308,1
13,434,1
13,154,1
13,688,2
14,144,4
14,190,5
14,177,1
14,603,5
14,537,5
15,489,4
16,594,4
16,2,3
16,386,3
16,723,4
16,652,5
16,192,2
16,344,5
16,32,2
17,227,1
17,185,4
17,756,3
18,793,3
18,280,5
18,468,3
18,205,2
18,848,4
18,474,5
18,161,3
19,492,1
20,849,5
20,838,1
20,81,1
20,142,4
20,126,2
20,796,1
20,658,3
20,732,3
21,481,1
21,431,3
21,355,2
21,451,2
21,549,3
22,517,5
22,329,3
22,682,2
22,50,2
22,75,3
22,390,3
23,340,2
23,426,2
23,335,2
23,769,1
23,476,3
23,283,2
23,542,3
24,608,5
24,609,3
24,146,4
24,238,3
24,33,2
24,258,2
24,482,2
25,599,4
25,302,2
25,150,3
25,582,4
25,154,1
25,744,3
25,637,4
26,194,5
26,738,5
26,639,2
27,4,4
28,484,1
28,188,2
28,32,5
28,94,2
28,629,3
28,18,5
28,724,5
29,278,4
30,838,2
30,298,3
31,787,3
31,769,1
31,217,2
31,315,2
31,149,3
31,370,2
31,676,4
31,65,3
32,242,2
32,533,4
32,372,5
32,795,5
32,213,5
33,732,5
33,360,5
33,328,1
33,753,4
34,146,5
34,342,5
34,440,2
34,798,2
34,41,2
35,166,2
35,579,3
36,751,3
36,359,3
36,837,3
36,599,1
36,743,1
36,694,4
37,432,5
37,237,1
37,269,4
37,113,2
37,191,4
38,29,4
38,653,3
38,516,1
38,801,5
38,763,2
40,462,2
40,29,4
40,646,5
41,94,4
41,402,3
41,480,1
41,566,3
41,458,1
42,757,5
42,154,5
42,533,4
42,591,2
42,216,5
42,811,5
43,679,5
43,470,5
43,758,5
44,315,1
44,27,4
44,674,2
44,146,3
45,66,5
45,803,1
45,80,3
45,78,3
46,305,5
46,187,2
46,3,1
46,380,5
46,45,2
47,152,4
47,713,1
48,631,4
48,120,1
48,130,4
48,282,4
49,381,5
49,376,2
49,734,4
49,32,4
49,222,1
49,653,4
49,544,5
49,597,1
50,568,3
50,762,2
50,34,1
50,94,5
50,466,4
51,388,3
51,254,3
51,404,1
51,137,2
51,419,1
51,529,5
51,715,1
52,203,5
52,830,4
52,32,4
52,524,4
52,456,2
52,633,5
52,604,3
53,700,2
53,485,2
53,721,2
53,33,2
53,516,4
53,475,5
53,152,3
54,449,2
54,445,4
54,240,1
54,544,4
54,329,5
55,211,3
55,161,1
55,772,2
55,223,5
55,137,3
55,823,3
55,516,3
55,678,3
56,13,1
56,594,4
56,489,4
56,644,3
56,724,3
56,238,2
56,779,5
57,305,1
57,623,4
57,724,1
57,162,3
57,297,3
57,356,1
58,298,1
58,320,1
58,308,3
58,222,4
58,35,3
59,177,2
59,444,2
59,764,1
59,349,4
59,610,3
59,714,1
59,616,3
60,598,3
60,771,2
61,273,3
61,230,2
61,444,2
61,171,2
61,350,5
61,79,4
62,276,4
62,376,4
62,424,3
63,277,5
63,256,4
63,54,4
63,29,5
63,684,4
63,545,1
64,613,1
64,422,2
64,176,1
64,51,3
64,188,4
64,155,5
64,384,1
64,154,5
65,372,4
65,244,3
65,639,4
65,179,2
65,85,4
65,347,3
65,216,4
65,528,3
66,111,2
66,821,1
66,516,3
67,113,1
67,324,1
67,167,3
67,718,5
67,268,3
68,477,3
68,802,3
68,771,2
69,352,3
70,843,5
71,250,5
71,549,3
71,540,5
71,406,2
72,358,4
72,256,4
72,613,3
72,720,1
72,587,1
72,365,5
72,848,1
73,220,2
73,620,1
73,44,1
73,292,3
74,615,4
76,437,3
76,678,5
76,91,5
76,604,5
76,292,1
76,68,2
76,344,3
77,289,4
77,122,3
77,609,4
78,491,4
79,748,3
79,96,1
79,380,3
79,532,3
79,163,5
80,712,1
