0,114
0,467
0,320
0,441
0,719
0,825
0,846
1,381
1,259
1,137
1,430
1,449
1,649
1,309
1,53
1,205
2,614
2,537
2,839
2,262
2,418
2,491
2,235
2,849
2,367
2,621
3,341
3,460
3,720
3,714
3,564
3,490
3,75
3,783
3,522
3,742
3,631
3,352
4,593
4,497
4,235
4,317
4,626
4,209
4,461
4,541
4,492
4,225
4,396
4,802
4,466
5,274
5,19
6,230
6,408
6,393
8,166
8,584
8,568
8,197
8,518
9,736
9,737
9,657
9,498
9,519
9,712
9,472
9,673
9,9
9,41
9,364
9,826
9,480
9,297
9,228
10,833
10,666
10,45
10,836
10,613
10,398
10,17
10,608
11,737
11,666
11,134
11,783
11,451
11,758
11,448
11,154
12,657
12,0
12,383
12,786
12,822
12,233
12,465
12,289
12,787
12,174
12,806
12,528
12,736
12,590
13,303
13,45
13,11
13,224
13,434
13,654
13,727
13,164
13,625
13,173
13,399
14,756
14,718
14,690
14,603
14,804
14,842
14,659
14,576
14,458
14,182
14,841
14,320
14,155
15,534
15,162
15,258
15,154
15,70
15,706
15,647
15,86
15,709
16,86
16,646
16,769
16,52
16,798
16,80
16,701
16,436
16,760
16,71
16,609
16,0
16,670
16,321
16,170
17,443
17,190
17,226
17,372
17,769
17,456
17,384
17,834
17,355
17,407
17,656
17,484
17,241
18,648
18,364
18,451
18,334
18,253
18,772
18,163
18,67
18,64
18,637
18,659
18,450
19,279
19,494
19,30
19,176
19,77
19,765
19,452
20,250
20,49
20,95
20,831
20,291
20,216
20,600
20,51
21,415
21,793
21,440
21,406
21,501
21,566
21,437
21,626
21,152
21,685
21,267
21,537
21,236
21,193
21,523
22,611
22,450
22,524
22,452
22,764
22,30
22,33
22,292
22,255
22,544
22,785
22,791
23,846
23,34
23,817
23,135
23,259
23,379
23,690
23,770
23,317
23,844
23,168
23,498
25,434
25,403
25,735
25,172
25,794
25,291
25,57
25,97
25,704
25,211
26,42
26,640
26,304
26,62
26,132
26,838
27,846
27,839
27,655
27,231
27,217
27,39
27,661
27,390
27,577
27,806
27,279
28,511
28,287
29,677
29,780
29,278
29,346
30,803
30,732
30,315
31,297
31,36
31,136
31,7
31,24
31,704
31,280
32,244
32,459
32,252
32,731
32,663
32,460
32,573
32,828
32,839
33,144
33,555
33,161
33,323
33,46
33,755
33,35
34,62
34,1
34,502
34,477
34,752
34,627
35,317
35,282
35,579
35,544
35,299
35,101
35,393
35,250
35,629
35,471
35,467
36,556
36,90
37,19
38,399
38,623
38,593
38,279
38,181
38,439
38,564
38,50
38,611
39,274
39,130
39,216
39,133
39,176
39,803
39,414
39,701
39,255
39,646
39,768
39,325
40,264
40,776
40,220
40,284
40,67
40,530
40,716
40,836
40,165
40,231
42,767
42,296
43,520
43,332
44,593
44,62
45,391
45,326
45,687
45,1
45,397
45,665
45,517
45,804
46,817
46,411
46,822
46,46
46,306
46,691
46,568
46,676
46,188
47,457
47,523
47,270
47,554
47,11
47,662
47,509
47,807
47,533
47,360
47,504
48,628
48,404
48,334
48,780
48,349
49,162
49,677
49,566
49,12
49,321
49,185
49,772
49,198
50,769
50,556
50,132
50,620
50,288
50,272
51,590
51,532
51,471
51,367
51,807
51,161
51,385
51,654
51,458
51,567
51,13
51,103
52,670
52,115
53,159
53,610
53,291
53,849
53,508
53,387
53,294
53,624
53,527
53,497
53,97
53,539
53,827
53,211
54,720
54,749
54,18
54,453
55,379
55,312
55,4
55,747
55,512
55,431
56,70
56,531
56,761
56,547
56,682
56,485
57,49
57,10
57,380
57,410
57,318
58,102
58,820
58,502
58,523
58,176
58,284
58,800
58,103
58,110
59,632
59,517
59,288
59,658
59,575
59,37
59,556
59,437
59,177
59,580
59,801
60,389
60,709
60,413
60,95
60,267
61,109
61,504
61,508
61,50
61,359
61,210
61,462
62,241
62,606
62,369
62,435
63,507
63,577
63,553
63,449
64,437
64,459
64,480
64,136
64,482
64,313
64,785
64,119
64,151
64,643
64,743
64,96
65,805
65,116
65,364
65,300
65,352
66,619
66,713
66,840
66,447
66,788
66,89
66,243
66,127
67,848
67,529
67,58
67,417
67,416
67,221
67,267
67,217
67,268
67,580
67,86
68,137
68,269
68,390
69,150
69,668
69,695
69,788
69,387
69,172
70,599
70,79
70,742
70,747
70,741
70,712
70,54
70,298
70,423
71,801
71,719
71,575
71,280
71,134
71,676
71,662
71,618
71,736
71,600
72,710
72,48
72,63
72,192
73,126
73,684
73,636
73,190
73,687
73,797
73,313
73,597
75,501
75,216
75,195
76,628
76,47
76,435
76,372
77,67
77,396
77,159
77,787
77,379
77,502
77,88
77,464
77,621
77,815
77,591
78,340
78,507
78,381
78,53
78,137
78,307
78,691
78,186
78,333
78,632
78,396
78,726
78,444
79,726
79,210
79,163
79,601
79,812
79,612
79,369
79,148
79,139
79,837
79,387
79,90
79,766
79,647
79,787
80,21
80,192
80,666
80,449
82,380
82,507
