0,Pomegranates,2.99
0,Lettuce,3.26
0,Beets,3.01
0,Pineapples,1.49
0,Cinnamon,4.49
1,Currants,4.51
1,Pomelo,3.08
1,Watermelons,2.62
2,Marionberries,1.35
2,Celery,3.74
2,Honey,2.78
2,Pistachios,2.57
2,Basil,3.39
3,Celery,1.54
3,Chives,5.35
3,Raspberries,5.07
4,Mulberries,5.14
4,Pecans,2.61
4,Oranges,3.32
4,Dill,1.45
4,Pineapples,4.18
5,Rosemary,3.76
5,Beets,1.9
5,Potatoes,2.75
5,Raspberries,3.25
6,Figs,5.02
6,Coffee beans,3.83
6,Blueberries,4.34
6,Mulberries,3.98
6,Peanuts,5.36
6,Rambutan,1.31
6,Onions,2.72
6,Grapes,3.88
7,Parsley,3.27
7,Swiss chard,2.47
7,Eggplant,1.35
7,Pistachios,5.19
7,Blackberries,2.54
7,Peaches,4.05
8,Cashews,2.02
8,Gooseberries,1.63
8,Radishes,5.3
9,Lettuce,1.86
9,Swiss chard,4.63
9,Brussels sprouts,4.81
9,Celery,3.25
9,Plums,1.56
10,Cabbage,4.91
10,Tangerines,4.92
10,Basil,4.6
10,Cantaloupes,2.69
10,Raspberries,3.83
10,Jackfruit,4.86
10,Passionfruit,4.16
10,Dragon fruit,1.68
10,Cinnamon,3.73
11,Bananas,3.58
11,Tomatoes,4.65
11,Sunflower seeds,3.65
11,Fennel,2.52
11,Raspberries,2.21
11,Cabbage,1.86
11,Eggplant,4.98
12,Lychee,5.48
12,Marionberries,3.58
12,Mangoes,4.06
12,Raspberries,3.45
12,Nectarines,5.11
13,Strawberries,3.0
13,Cilantro,2.01
13,Sunflower seeds,2.95
13,Pistachios,2.71
13,Squash,3.08
14,Clementines,3.29
14,Watermelons,4.64
14,Apricots,4.25
14,Limes,1.98
14,Passionfruit,1.57
14,Blueberries,4.93
15,Cantaloupes,4.54
15,Tomatoes,2.63
15,Cauliflower,5.21
15,Kumquats,3.37
15,Cucumbers,3.93
15,Clementines,4.19
15,Elderberries,2.29
16,Peaches,2.25
16,Asparagus,2.35
16,Pineapples,4.1
17,Turnips,2.36
17,Cumin,5.15
17,Pistachios,1.23
18,Limes,4.65
18,Grapefruits,5.06
18,Cumin,4.39
19,Peas,2.72
19,Cashews,2.3
19,Cilantro,2.33
19,Parsley,4.02
19,Avocados,2.62
19,Beans,1.33
19,Almonds,1.11
19,Nectarines,1.96
19,Bananas,3.98
20,Cherimoya,1.11
20,Collard greens,1.95
20,Carrots,2.22
20,Apricots,4.87
20,Pumpkins,4.28
20,Spinach,3.27
20,Tangerines,3.09
21,Broccoli,4.4
21,Carrots,5.44
21,Cherimoya,4.05
21,Bok choy,1.8
21,Blackcurrants,1.72
21,Peas,4.88
21,Cabbage,4.41
22,Hot peppers,4.22
22,Sweet potatoes,2.18
22,Lettuce,3.18
22,Bok choy,5.15
22,Beets,1.36
23,Swiss chard,3.39
23,Beets,1.71
23,Artichokes,1.73
23,Cantaloupes,3.05
23,Garlic,3.08
23,Cilantro,3.92
23,Figs,5.07
24,Hazelnuts,1.87
24,Turnips,3.08
24,Persimmons,4.11
24,Parsnips,2.27
24,Pecans,2.04
24,Lettuce,2.09
25,Eggplant,2.88
25,Brussels sprouts,1.81
25,Bananas,3.06
25,Carrots,3.54
25,Onions,2.46
25,Leeks,4.65
25,Gooseberries,3.28
25,Nectarines,2.45
26,Beets,1.11
26,Parsley,3.1
26,Corn,3.1
26,Bell peppers,4.57
26,Fennel,2.39
27,Tomatoes,1.37
27,Swiss chard,1.26
27,Grapes,1.81
27,Honeydews,3.55
28,Persimmons,4.06
28,Guavas,3.33
28,Cantaloupes,5.22
28,Cucumbers,1.78
28,Nectarines,3.17
28,Elderberries,2.83
28,Radicchio,2.8
28,Dill,4.27
28,Boysenberries,4.01
28,Mulberries,5.23
29,Honeydews,5.39
29,Thyme,2.47
29,Kiwi,4.27
30,Apricots,3.26
30,Pomelo,5.02
30,Peaches,1.24
30,Currants,4.44
30,Coffee beans,4.08
30,Cashews,3.71
30,Swiss chard,2.66
30,Kumquats,4.37
30,Squash,3.23
30,Okra,5.15
31,Almonds,3.39
31,Rosemary,4.8
31,Bok choy,4.47
31,Cantaloupes,2.49
31,Cilantro,3.91
31,Hot peppers,2.21
31,Raspberries,1.17
31,Cherimoya,3.89
32,Pineapples,1.37
32,Celery,3.26
32,Honeydews,1.64
32,Hazelnuts,1.27
32,Cherries,5.3
32,Apples,1.52
32,Pomegranates,1.15
33,Grapes,4.07
33,Lettuce,4.18
33,Ugli fruit,5.21
33,Mustard greens,4.6
33,Thyme,3.36
33,Kumquats,4.3
33,Raspberries,3.05
33,Rambutan,4.08
33,Clementines,4.64
33,Jackfruit,5.28
34,Asparagus,4.05
34,Walnuts,1.68
34,Coffee beans,3.63
34,Pineapples,3.23
34,Gooseberries,2.25
34,Peaches,3.78
35,Pineberries,1.93
35,Onions,5.49
35,Rambutan,2.17
35,Watermelons,5.15
35,Pomelo,2.38
35,Blueberries,3.12
36,Limes,1.53
36,Walnuts,1.57
36,Cranberries,2.76
36,Cantaloupes,1.95
36,Watercress,2.57
36,Nectarines,3.41
36,Jackfruit,3.47
36,Lychee,4.7
36,Tomatoes,1.86
36,Cherimoya,2.6
37,Limes,1.36
37,Bananas,5.22
37,Boysenberries,4.05
37,Cucumbers,2.61
37,Grapefruits,3.19
37,Beets,2.47
37,Hazelnuts,2.57
